host,decision,group,path,bytes,allocated_bytes,mtime_utc,inode,device,nlink,reason,result
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crf12.mkv,122095643,122097664,2026-08-31T13:26:00.001379+00:00,3223,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crf16.f300.rgb,24883200,24883200,2026-08-31T13:26:32.456725+00:00,3227,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crf16.mkv,89273758,89276416,2026-08-31T13:25:10.122678+00:00,3222,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf0.mkv,260080209,260083712,2026-08-31T15:12:25.805234+00:00,3338,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf0_300.rgb,24883200,24883200,2026-08-31T15:18:50.594679+00:00,3349,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf0_480.rgb,24883200,24883200,2026-08-31T15:19:31.816095+00:00,3360,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf10.mkv,141001352,141004800,2026-08-31T15:14:36.896707+00:00,3341,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf10_300.rgb,24883200,24883200,2026-08-31T15:19:01.474133+00:00,3352,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf10_480.rgb,24883200,24883200,2026-08-31T15:19:48.618491+00:00,3363,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf14.mkv,104688953,104689664,2026-08-31T15:15:16.696999+00:00,3342,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf14_300.rgb,24883200,24883200,2026-08-31T15:19:04.109125+00:00,3353,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf14_480.rgb,24883200,24883200,2026-08-31T15:19:52.804910+00:00,3364,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf18.mkv,75218442,75218944,2026-08-31T15:15:55.451109+00:00,3343,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf18_300.rgb,24883200,24883200,2026-08-31T15:19:06.322033+00:00,3354,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf18_480.rgb,24883200,24883200,2026-08-31T15:19:56.180269+00:00,3365,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf20.mkv,62656957,62660608,2026-08-31T15:16:33.083154+00:00,3344,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf20_300.rgb,24883200,24883200,2026-08-31T15:19:08.266106+00:00,3355,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf20_480.rgb,24883200,24883200,2026-08-31T15:19:59.199881+00:00,3366,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf22.mkv,51558083,51560448,2026-08-31T15:17:09.523887+00:00,3345,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf22_300.rgb,24883200,24883200,2026-08-31T15:19:10.009323+00:00,3356,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf22_480.rgb,24883200,24883200,2026-08-31T15:20:01.892569+00:00,3367,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf24.mkv,41693510,41697280,2026-08-31T15:17:44.296986+00:00,3346,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf24_300.rgb,24883200,24883200,2026-08-31T15:19:11.580986+00:00,3357,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf24_480.rgb,24883200,24883200,2026-08-31T15:20:04.332237+00:00,3368,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf28.mkv,25851817,25853952,2026-08-31T15:18:15.709383+00:00,3347,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf28_300.rgb,24883200,24883200,2026-08-31T15:19:12.786844+00:00,3358,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf28_480.rgb,24883200,24883200,2026-08-31T15:20:06.119896+00:00,3369,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf4.mkv,206537904,206540800,2026-08-31T15:13:12.806473+00:00,3339,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf4_300.rgb,24883200,24883200,2026-08-31T15:18:54.669388+00:00,3350,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf4_480.rgb,24883200,24883200,2026-08-31T15:19:38.106251+00:00,3361,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf8.mkv,161496649,161497088,2026-08-31T15:13:55.570331+00:00,3340,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf8_300.rgb,24883200,24883200,2026-08-31T15:18:58.206223+00:00,3351,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/crf8_480.rgb,24883200,24883200,2026-08-31T15:19:43.649682+00:00,3362,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/ref_300.rgb,24883200,24883200,2026-08-31T15:18:45.981529+00:00,3348,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/crfsweep/ref_480.rgb,24883200,24883200,2026-08-31T15:19:24.708554+00:00,3359,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/dense_gbrp_ref.mkv,365135657,365137920,2026-08-31T13:19:33.185122+00:00,3216,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/dense_src.f300.rgb,24883200,24883200,2026-08-31T13:26:21.210585+00:00,3224,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/dense_src.mkv,6563012068,6563012608,2026-08-31T13:15:15.847927+00:00,3213,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw420.f300.rgb,24883200,24883200,2026-08-31T13:48:11.962231+00:00,3249,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw420.mkv,96962631,96964608,2026-08-31T13:42:35.492015+00:00,3239,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv.f300.rgb,24883200,24883200,2026-08-31T13:48:09.962476+00:00,3248,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv.mkv,107510956,107511808,2026-08-31T13:47:51.791442+00:00,3245,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv_q80.f300.rgb,24883200,24883200,2026-08-31T13:48:50.435206+00:00,3251,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv_q80.mkv,219618729,219619328,2026-08-31T13:48:47.290839+00:00,3250,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv_q95.f300.rgb,24883200,24883200,2026-08-31T13:49:07.865994+00:00,3253,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_ayuv_q95.mkv,427349588,427352064,2026-08-31T13:49:03.372874+00:00,3252,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_bgra.f300.rgb,24883200,24883200,2026-08-31T13:48:07.816020+00:00,3247,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_bgra.mkv,110033121,110034944,2026-08-31T13:47:39.245453+00:00,3243,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_p210.f300.rgb,24883200,24883200,2026-08-31T13:48:05.530799+00:00,3246,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hw_p210.mkv,187689837,187691008,2026-08-31T13:47:28.724941+00:00,3241,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwcrf_40.mkv,14848803,14852096,2026-08-31T14:05:54.047348+00:00,3288,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwcrf_5.mkv,14848803,14852096,2026-08-31T14:05:50.961327+00:00,3287,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwcrf_test.mkv,2055584,2056192,2026-08-31T14:05:39.206103+00:00,3286,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/crf12.rgb,24883200,24883200,2026-08-31T14:06:48.387222+00:00,3300,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/crf16.rgb,24883200,24883200,2026-08-31T14:06:45.552673+00:00,3298,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q50.mp4,46842048,46845952,2026-08-31T14:04:08.077589+00:00,3278,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q50.rgb,24883200,24883200,2026-08-31T16:14:58.587496+00:00,3293,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q55.mp4,75489540,75493376,2026-08-31T14:04:18.785675+00:00,3279,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q55.rgb,24883200,24883200,2026-08-31T16:15:00.137197+00:00,3411,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q60.mp4,94607123,94609408,2026-08-31T14:04:29.993428+00:00,3280,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q60.rgb,24883200,24883200,2026-08-31T16:15:02.044401+00:00,3294,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q65.mp4,114780150,114782208,2026-08-31T14:04:41.621497+00:00,3281,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q65.rgb,24883200,24883200,2026-08-31T16:15:04.246258+00:00,3412,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q70.mp4,145628260,145629184,2026-08-31T14:04:53.378147+00:00,3282,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q70.rgb,24883200,24883200,2026-08-31T16:15:06.824573+00:00,3295,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q75.mp4,167293722,167297024,2026-08-31T14:05:05.022674+00:00,3283,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q75.rgb,24883200,24883200,2026-08-31T16:15:09.585444+00:00,3413,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q80.mp4,203801927,203804672,2026-08-31T14:05:16.641753+00:00,3284,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q80.rgb,24883200,24883200,2026-08-31T16:15:12.679906+00:00,3296,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q85.mp4,240562937,240566272,2026-08-31T14:05:28.082297+00:00,3285,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/hw_q85.rgb,24883200,24883200,2026-08-31T16:15:16.088106+00:00,3297,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/p_medium.rgb,24883200,24883200,2026-08-31T14:06:52.705512+00:00,3301,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq/ref.rgb,24883200,24883200,2026-08-31T14:06:23.042344+00:00,3292,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q55.rgb,199065600,199065600,2026-08-31T20:48:46.525958+00:00,3521,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q57.rgb,199065600,199065600,2026-08-31T20:48:49.720462+00:00,3522,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q60.rgb,199065600,199065600,2026-08-31T20:48:53.318079+00:00,3523,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q62.rgb,199065600,199065600,2026-08-31T20:48:57.247902+00:00,3524,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q64.rgb,199065600,199065600,2026-08-31T20:49:01.542151+00:00,3525,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q66.rgb,199065600,199065600,2026-08-31T20:49:06.044104+00:00,3526,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q68.rgb,199065600,199065600,2026-08-31T20:49:10.687027+00:00,3527,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q70.rgb,199065600,199065600,2026-08-31T20:49:15.532804+00:00,3528,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_multiframe/q72.rgb,199065600,199065600,2026-08-31T20:49:20.524070+00:00,3529,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q55.mp4,75489540,75493376,2026-08-31T20:45:00.744300+00:00,3502,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q56.mp4,75489540,75493376,2026-08-31T20:45:11.309703+00:00,3503,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q57.mp4,84135648,84135936,2026-08-31T20:45:22.361788+00:00,3504,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q58.mp4,84135648,84135936,2026-08-31T20:45:33.560921+00:00,3505,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q59.mp4,84135648,84135936,2026-08-31T20:45:45.677190+00:00,3506,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q60.mp4,94607123,94609408,2026-08-31T20:45:57.293807+00:00,3507,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q61.mp4,94607123,94609408,2026-08-31T20:46:09.182259+00:00,3508,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q62.mp4,104894191,104894464,2026-08-31T20:46:20.908610+00:00,3509,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q63.mp4,104894191,104894464,2026-08-31T20:46:32.514569+00:00,3510,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q64.mp4,114780150,114782208,2026-08-31T20:46:43.732059+00:00,3511,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q65.mp4,114780150,114782208,2026-08-31T20:46:55.300933+00:00,3512,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q66.mp4,125680227,125681664,2026-08-31T20:47:07.044432+00:00,3513,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
mac-external,PROPOSE_DELETE,render-experiments,/Volumes/4T Data/buv_render/diagnostics/presettest/hwq55_72_production/hw_q67.mp4,125680227,125681664,2026-08-31T20:47:19.020068+00:00,3514,16777240,1,"Superseded encoding trial; retain logs, hashes and three source/control clips",deleted
